iter	Passed	Remaining
1631	12529	371326
1632	12536	371318
1633	12544	371307
1634	12552	371317
1635	12560	371320
1636	12569	371336
1637	12576	371316
1638	12584	371311
1639	12591	371302
1640	12599	371289
1641	12606	371274
1642	12614	371258
1643	12621	371247
1644	12629	371235
1645	12636	371217
1646	12644	371210
1647	12651	371191
1648	12658	371172
1649	12666	371157
1650	12673	371129
1651	12680	371117
1652	12688	371106
1653	12696	371108
1654	12704	371114
1655	12711	371102
1656	12719	371083
1657	12727	371079
1658	12734	371071
1659	12742	371073
1660	12750	371079
1661	12758	371066
1662	12766	371074
1663	12774	371083
1664	12782	371069
1665	12789	371054
1666	12797	371041
1667	12804	371028
1668	12812	371012
1669	12819	371007
1670	12827	370991
1671	12835	370992
